Image Name: 1	
Slide Name: 160421_1	
Capture Date: 04/21/2016	
Capture Time: 14:48:56	
Plane	Time	Elapsed (ms)	G PMT (1)	G PMT (2)	G PMT (3)	G PMT (4)	G PMT (5)	G PMT (6)	G PMT (7)	G PMT (8)	G PMT (9)	G PMT (10)	G PMT (11)	G PMT (12)	G PMT (13)	G PMT (14)	G PMT (15)	G PMT (16)	G PMT (17)	G PMT (18)	
90	14:48:56	17945	1014.328	1350.250	607.500	511.900	901.944	684.357	667.652	668.333	468.083	742.600	1143.556	291.778	733.667	870.333	700.654	360.000	1058.071	454.909	
91	14:48:56	18083	1087.638	1416.917	624.857	515.233	897.056	700.143	658.413	628.500	490.708	755.900	1063.278	307.889	694.056	889.056	735.269	364.500	1097.357	453.364	
92	14:48:56	18222	1096.879	1381.958	642.143	603.467	857.944	664.286	663.174	686.375	490.958	726.500	1072.333	304.389	707.333	893.500	735.077	364.833	1134.143	434.818	
93	14:48:56	18360	1036.603	1331.708	568.571	622.900	866.444	660.143	649.522	669.458	480.792	750.700	1043.500	291.667	730.444	851.889	701.077	376.667	1007.786	441.773	
94	14:48:56	18498	1038.845	1258.000	638.000	568.500	850.667	670.000	644.761	628.583	504.875	749.400	1119.500	271.111	662.889	846.556	640.385	378.167	1005.643	453.864	
95	14:48:56	18636	1116.172	1336.292	692.643	607.667	852.833	678.500	643.674	645.750	520.833	762.000	1177.056	319.444	716.056	842.778	662.192	384.333	1100.714	436.182	
96	14:48:56	18775	1145.914	1399.583	629.786	633.667	928.889	718.857	677.870	662.292	529.542	722.700	1151.778	304.444	707.611	925.111	702.846	401.167	1093.786	457.500	
97	14:48:56	18913	1147.966	1348.125	619.786	611.200	884.111	651.857	659.087	624.417	528.000	718.900	1149.556	350.500	725.778	852.556	716.885	384.778	1111.643	445.182	
98	14:48:56	19051	1068.138	1374.792	612.643	586.900	878.722	674.143	659.804	626.667	529.333	749.200	1131.500	299.944	784.833	791.000	715.846	357.222	1096.286	443.682	
99	14:48:56	19189	1061.517	1343.875	615.714	623.200	803.444	666.929	612.500	626.958	509.958	719.900	1083.333	276.889	647.111	830.000	636.462	377.944	999.500	446.318	
100	14:48:56	19328	1067.448	1341.667	607.857	579.867	825.556	677.000	639.500	618.917	531.042	717.800	1147.389	296.833	700.889	872.778	676.192	371.056	1032.143	413.818	
101	14:48:56	19466	1118.690	1345.500	571.143	616.300	815.278	628.571	647.978	665.042	506.792	707.300	1110.222	319.722	633.444	844.389	679.192	364.500	1068.571	436.045	
102	14:48:56	19604	1122.414	1341.583	561.214	532.800	837.444	610.071	675.217	631.667	508.708	673.400	1108.889	280.167	683.833	894.056	669.500	339.333	973.857	442.455	
103	14:48:56	19742	1099.690	1385.542	577.143	556.867	809.167	606.500	647.326	659.958	516.667	722.900	1127.611	300.278	699.722	842.333	654.346	340.889	998.857	414.182	
104	14:48:56	19881	1082.397	1303.000	583.357	546.833	793.556	647.500	651.739	610.958	490.333	751.500	1071.833	296.833	671.278	816.944	722.885	336.278	992.714	426.864	
